x,y,z,00:13:ce:8f:77:43_RSSI,00:13:ce:8f:78:d9_RSSI,00:13:ce:95:de:7e_RSSI,00:13:ce:95:e1:6f_RSSI,00:13:ce:97:78:79_RSSI
5.4,29.59,1.2,-65.86227837599559,-31.24222272248784,-72.61604350000552,-55.95736728033535,-79.0
5.4,29.59,1.2,-59.65036299757614,-23.9457552357822,-74.04106688220055,-57.76562508990746,-82.96162378061155
5.4,29.59,1.2,-61.63458645246357,-28.521348796585826,-77.07417918869265,-63.32220321146324,-75.38909650438544
4.2,29.59,1.2,-61.93266512699366,-24.792599328475255,-74.87846414286938,-50.009312375022986,-79.84456342079736
4.2,29.59,1.2,-74.2292509377807,-35.05226659333797,,-54.181439097821325,
4.2,29.59,1.2,-68.60815151885488,-26.989856316471936,-72.96708537950093,-54.40622508233763,-79.40074236302185
4.2,29.59,1.2,-69.89162001647615,-24.317509504831992,-75.1021814698805,-53.04471248472296,-79.47128104620114
3.0,29.59,1.2,-58.05750719028032,-34.22308293557705,-74.59472008151934,-55.39358731514088,-81.0
3.0,29.59,1.2,-64.95930291040634,-26.180793538310404,-74.38664942992675,-58.99517020236915,-82.0
3.0,29.59,1.2,-61.0713068641041,-28.345504514888496,-70.1927661161268,-51.26425104981699,-80.4321273423321
3.0,29.59,1.2,-68.97552991159017,-26.573649880325824,-77.840689331738,-55.10963268811116,-73.45519914309256
1.8,29.59,1.2,-58.919007132612016,-28.22063277007381,-70.03879020119362,-49.66894093819776,-82.041355523818
1.8,29.59,1.2,-64.8590629920313,-34.921520516109865,-74.35334239079924,-57.334003543625855,-83.1824224046031
1.8,29.59,1.2,-58.723561067596115,-31.05103059764648,-73.60079620780645,-51.60429811627364,-83.94256209240228
1.8,29.59,1.2,-67.07325745871023,-31.12995904892342,-76.27658991645981,-53.78044444760454,-80.67363205192287
5.4,30.59,1.2,-65.01295115330738,-32.10544424319504,,-54.64737104405507,
5.4,30.59,1.2,-68.72759957154628,-35.86662710958344,,-62.29708870633594,
5.4,30.59,1.2,-69.1030504483754,-31.59516368087236,-73.13157004155818,-54.12872348903322,-84.0
5.4,30.59,1.2,-72.74631733236403,-40.80231943859417,,-57.07121390332753,
4.2,30.59,1.2,-65.7968524822702,-30.798116092045987,-69.81189117815023,-55.81961733969077,-74.92131845261183
4.2,30.59,1.2,-65.70293698895196,-26.367013000699522,-70.68394396654675,-51.834445912045204,-75.30843835705681
4.2,30.59,1.2,-65.39327682779268,-29.481536342058327,-71.29701000233777,-51.78095973440543,
